date,weekly_ufopct,year,month
2007-04-22,13.404255319148936,2007,4
2007-04-29,10.638297872340424,2007,4
2008-04-06,11.27659574468085,2008,4
2008-04-13,17.23404255319149,2008,4
2008-04-20,24.893617021276594,2008,4
2008-04-27,23.617021276595747,2008,4
2009-04-05,13.404255319148936,2009,4
2009-04-12,8.51063829787234,2009,4
2009-04-19,15.106382978723405,2009,4
2009-04-26,15.319148936170214,2009,4
2010-04-04,9.574468085106382,2010,4
2010-04-11,12.553191489361698,2010,4
2010-04-18,13.191489361702127,2010,4
2010-04-25,10.212765957446807,2010,4
2011-04-03,12.978723404255321,2011,4
2011-04-10,12.340425531914892,2011,4
2011-04-17,16.382978723404253,2011,4
2011-04-24,11.27659574468085,2011,4
2012-04-01,17.446808510638302,2012,4
2012-04-08,19.361702127659573,2012,4
2012-04-15,23.19148936170213,2012,4
2012-04-22,26.80851063829787,2012,4
2012-04-29,20.851063829787236,2012,4
2013-04-07,16.80851063829787,2013,4
2013-04-14,17.02127659574468,2013,4
2013-04-21,16.170212765957444,2013,4
2013-04-28,23.19148936170213,2013,4
2014-04-06,26.80851063829787,2014,4
2014-04-13,30.21276595744681,2014,4
2014-04-20,30.638297872340427,2014,4
2014-04-27,27.659574468085108,2014,4
2015-04-05,21.27659574468085,2015,4
2015-04-12,20.0,2015,4
2015-04-19,19.148936170212764,2015,4
2015-04-26,17.23404255319149,2015,4
2016-04-03,21.063829787234038,2016,4
2016-04-10,14.468085106382976,2016,4
2016-04-17,18.936170212765962,2016,4
2016-04-24,16.170212765957444,2016,4
2017-04-02,11.27659574468085,2017,4
2017-04-09,11.914893617021274,2017,4
2017-04-16,23.19148936170213,2017,4
2017-04-23,17.446808510638302,2017,4
2017-04-30,15.531914893617019,2017,4
2018-04-01,8.936170212765957,2018,4
2018-04-08,7.446808510638298,2018,4
2018-04-15,9.574468085106382,2018,4
2018-04-22,7.446808510638298,2018,4
2018-04-29,10.0,2018,4
2019-04-07,16.595744680851062,2019,4
2019-04-14,13.404255319148936,2019,4
2019-04-21,19.78723404255319,2019,4
2019-04-28,12.340425531914892,2019,4
2020-04-05,25.106382978723406,2020,4
2020-04-12,37.659574468085104,2020,4
2020-04-19,85.74468085106382,2020,4
2020-04-26,43.61702127659574,2020,4
2006-05-07,12.76595744680851,2006,5
2006-05-14,10.0,2006,5
2006-05-21,12.553191489361698,2006,5
2006-05-28,8.297872340425531,2006,5
2007-05-06,12.76595744680851,2007,5
2007-05-13,13.617021276595745,2007,5
