,startdateweek,weekly_ufocount,weekly_ufopct,year,month,weeknum,week_id
145,2012-04-22,126,26.80851063829787,2012,4,16,2012-16
146,2014-04-06,126,26.80851063829787,2014,4,14,2014-14
147,2015-08-02,126,26.80851063829787,2015,8,31,2015-31
148,2012-10-07,126,26.80851063829787,2012,10,40,2012-40
149,2020-02-23,124,26.38297872340425,2020,2,8,2020-8
150,2013-07-21,124,26.38297872340425,2013,7,29,2013-29
151,2012-10-28,124,26.38297872340425,2012,10,43,2012-43
152,2016-10-02,123,26.170212765957444,2016,10,39,2016-39
153,2014-12-14,123,26.170212765957444,2014,12,50,2014-50
154,2013-06-09,123,26.170212765957444,2013,6,23,2013-23
155,2014-05-04,123,26.170212765957444,2014,5,18,2014-18
156,2008-08-03,123,26.170212765957444,2008,8,31,2008-31
157,2012-09-30,123,26.170212765957444,2012,9,39,2012-39
158,2010-08-15,123,26.170212765957444,2010,8,32,2010-32
159,2017-10-01,122,25.957446808510642,2017,10,39,2017-39
160,2008-11-23,122,25.957446808510642,2008,11,47,2008-47
161,2016-10-23,121,25.74468085106383,2016,10,42,2016-42
162,2012-12-09,121,25.74468085106383,2012,12,49,2012-49
163,2020-01-12,121,25.74468085106383,2020,1,2,2020-2
164,2016-09-25,120,25.53191489361702,2016,9,38,2016-38
165,2014-11-23,120,25.53191489361702,2014,11,47,2014-47
166,2013-05-26,120,25.53191489361702,2013,5,21,2013-21
167,2017-02-19,120,25.53191489361702,2017,2,7,2017-7
168,2020-05-17,120,25.53191489361702,2020,5,20,2020-20
169,2016-11-13,119,25.319148936170212,2016,11,45,2016-45
170,2014-11-02,119,25.319148936170212,2014,11,44,2014-44
171,2020-04-05,118,25.106382978723406,2020,4,14,2020-14
172,2013-06-30,118,25.106382978723406,2013,6,26,2013-26
173,2015-09-06,118,25.106382978723406,2015,9,36,2015-36
174,2008-04-20,117,24.893617021276594,2008,4,16,2008-16
175,2015-03-15,117,24.893617021276594,2015,3,11,2015-11
176,2016-09-18,117,24.893617021276594,2016,9,37,2016-37
177,2020-05-10,116,24.680851063829785,2020,5,19,2020-19
178,2011-09-18,116,24.680851063829785,2011,9,37,2011-37
179,2014-11-16,116,24.680851063829785,2014,11,46,2014-46
180,2011-11-06,116,24.680851063829785,2011,11,44,2011-44
181,2019-07-28,116,24.680851063829785,2019,7,30,2019-30
182,2011-10-30,116,24.680851063829785,2011,10,43,2011-43
183,2009-07-26,116,24.680851063829785,2009,7,30,2009-30
184,2010-08-29,115,24.46808510638298,2010,8,34,2010-34
185,2016-02-14,115,24.46808510638298,2016,2,6,2016-6
186,2014-05-11,115,24.46808510638298,2014,5,19,2014-19
187,2015-08-23,115,24.46808510638298,2015,8,34,2015-34
188,2009-01-18,115,24.46808510638298,2009,1,3,2009-3
189,2011-10-09,114,24.25531914893617,2011,10,40,2011-40
190,2018-07-08,114,24.25531914893617,2018,7,27,2018-27
191,2011-07-31,113,24.042553191489358,2011,7,30,2011-30
192,2008-01-06,113,24.042553191489358,2008,1,1,2008-1
193,2019-10-27,113,24.042553191489358,2019,10,43,2019-43
194,2015-11-15,113,24.042553191489358,2015,11,46,2015-46
195,2013-12-08,113,24.042553191489358,2013,12,49,2013-49
196,2015-07-26,112,23.82978723404255,2015,7,30,2015-30
197,2020-05-24,112,23.82978723404255,2020,5,21,2020-21
198,2015-10-04,112,23.82978723404255,2015,10,40,2015-40
199,2011-07-17,112,23.82978723404255,2011,7,28,2011-28
200,2014-12-28,112,23.82978723404255,2014,12,52,2014-52
201,2012-09-09,112,23.82978723404255,2012,9,36,2012-36
202,2007-09-02,112,23.82978723404255,2007,9,35,2007-35
203,2019-12-29,111,23.617021276595747,2019,12,52,2019-52
204,2020-03-01,111,23.617021276595747,2020,3,9,2020-9
205,2008-04-27,111,23.617021276595747,2008,4,17,2008-17
206,2016-09-11,111,23.617021276595747,2016,9,36,2016-36
207,2019-10-20,111,23.617021276595747,2019,10,42,2019-42
208,2008-08-10,110,23.40425531914893,2008,8,32,2008-32
209,2020-07-12,110,23.40425531914893,2020,7,28,2020-28
210,2011-08-07,110,23.40425531914893,2011,8,31,2011-31
211,2014-03-02,110,23.40425531914893,2014,3,9,2014-9
212,2012-03-25,110,23.40425531914893,2012,3,12,2012-12
213,2011-10-16,110,23.40425531914893,2011,10,41,2011-41
214,2015-11-01,109,23.19148936170213,2015,11,44,2015-44
215,2013-04-28,109,23.19148936170213,2013,4,17,2013-17
216,2013-06-16,109,23.19148936170213,2013,6,24,2013-24
217,2012-04-15,109,23.19148936170213,2012,4,15,2012-15
218,2014-05-18,109,23.19148936170213,2014,5,20,2014-20
219,2017-04-16,109,23.19148936170213,2017,4,15,2017-15
220,2011-07-24,109,23.19148936170213,2011,7,29,2011-29
221,2007-07-08,108,22.97872340425532,2007,7,27,2007-27
222,2012-05-20,108,22.97872340425532,2012,5,20,2012-20
223,2011-10-02,108,22.97872340425532,2011,10,39,2011-39
224,2014-02-16,107,22.76595744680851,2014,2,7,2014-7
225,2012-01-15,107,22.76595744680851,2012,1,2,2012-2
226,2014-11-09,107,22.76595744680851,2014,11,45,2014-45
227,2007-12-16,107,22.76595744680851,2007,12,50,2007-50
228,2020-08-30,107,22.76595744680851,2020,8,35,2020-35
229,2014-01-12,106,22.5531914893617,2014,1,2,2014-2
230,2016-11-06,106,22.5531914893617,2016,11,44,2016-44
231,2012-02-05,105,22.34042553191489,2012,2,5,2012-5
232,2014-06-01,105,22.34042553191489,2014,6,22,2014-22
233,2019-07-14,105,22.34042553191489,2019,7,28,2019-28
234,2019-08-04,104,22.127659574468087,2019,8,31,2019-31
235,2013-05-05,104,22.127659574468087,2013,5,18,2013-18
236,2015-07-12,104,22.127659574468087,2015,7,28,2015-28
237,2006-10-01,104,22.127659574468087,2006,10,39,2006-39
238,2010-09-05,103,21.914893617021274,2010,9,35,2010-35
239,2012-05-13,103,21.914893617021274,2012,5,19,2012-19
240,2014-11-30,103,21.914893617021274,2014,11,48,2014-48
241,2017-07-02,103,21.914893617021274,2017,7,26,2017-26
242,2015-01-11,102,21.70212765957447,2015,1,2,2015-2
243,2008-06-22,102,21.70212765957447,2008,6,25,2008-25
244,2016-11-20,101,21.489361702127663,2016,11,46,2016-46
245,2008-10-12,101,21.489361702127663,2008,10,41,2008-41
246,2016-07-24,101,21.489361702127663,2016,7,29,2016-29
247,2019-09-15,101,21.489361702127663,2019,9,37,2019-37
248,2011-09-11,101,21.489361702127663,2011,9,36,2011-36
249,2015-04-05,100,21.27659574468085,2015,4,14,2015-14
250,2008-06-15,100,21.27659574468085,2008,6,24,2008-24
251,2008-01-20,100,21.27659574468085,2008,1,3,2008-3
252,2017-06-11,100,21.27659574468085,2017,6,23,2017-23
253,2016-08-07,100,21.27659574468085,2016,8,31,2016-31
254,2017-09-24,100,21.27659574468085,2017,9,38,2017-38
255,2015-08-30,99,21.063829787234038,2015,8,35,2015-35
256,2016-04-03,99,21.063829787234038,2016,4,13,2016-13
257,2012-06-03,99,21.063829787234038,2012,6,22,2012-22
258,2015-06-14,99,21.063829787234038,2015,6,24,2015-24
259,2011-12-18,98,20.851063829787236,2011,12,50,2011-50
260,2007-11-04,98,20.851063829787236,2007,11,44,2007-44
261,2015-06-28,98,20.851063829787236,2015,6,26,2015-26
262,2008-10-26,98,20.851063829787236,2008,10,43,2008-43
263,2010-10-10,98,20.851063829787236,2010,10,40,2010-40
264,2012-04-29,98,20.851063829787236,2012,4,17,2012-17
265,2015-02-01,98,20.851063829787236,2015,2,5,2015-5
266,2014-03-30,98,20.851063829787236,2014,3,13,2014-13
267,2010-10-17,98,20.851063829787236,2010,10,41,2010-41
268,2019-01-06,98,20.851063829787236,2019,1,1,2019-1
269,2019-12-01,98,20.851063829787236,2019,12,48,2019-48
270,2016-03-06,98,20.851063829787236,2016,3,9,2016-9
271,2015-03-22,98,20.851063829787236,2015,3,12,2015-12
272,2020-06-14,97,20.638297872340427,2020,6,24,2020-24
273,2009-08-16,97,20.638297872340427,2009,8,33,2009-33
274,2016-06-12,97,20.638297872340427,2016,6,23,2016-23
275,2017-07-30,97,20.638297872340427,2017,7,30,2017-30
276,2010-07-25,97,20.638297872340427,2010,7,29,2010-29
277,2011-11-20,96,20.425531914893615,2011,11,46,2011-46
278,2016-08-21,96,20.425531914893615,2016,8,33,2016-33
279,2009-07-12,95,20.21276595744681,2009,7,28,2009-28
280,2014-02-09,95,20.21276595744681,2014,2,6,2014-6
281,2015-01-18,95,20.21276595744681,2015,1,3,2015-3
282,2015-12-27,95,20.21276595744681,2015,12,52,2015-52
283,2006-12-03,95,20.21276595744681,2006,12,48,2006-48
284,2009-08-23,95,20.21276595744681,2009,8,34,2009-34
285,2019-06-23,95,20.21276595744681,2019,6,25,2019-25
286,2007-08-12,95,20.21276595744681,2007,8,32,2007-32
287,2011-06-19,95,20.21276595744681,2011,6,24,2011-24
288,2010-10-03,95,20.21276595744681,2010,10,39,2010-39
289,2006-08-20,94,20.0,2006,8,33,2006-33
290,2015-04-12,94,20.0,2015,4,15,2015-15
291,2015-07-19,94,20.0,2015,7,29,2015-29
292,2007-09-23,94,20.0,2007,9,38,2007-38
293,2011-09-25,94,20.0,2011,9,38,2011-38
294,2007-08-19,94,20.0,2007,8,33,2007-33
295,2009-07-19,93,19.78723404255319,2009,7,29,2009-29
296,2019-11-03,93,19.78723404255319,2019,11,44,2019-44
297,2019-04-21,93,19.78723404255319,2019,4,16,2019-16
